job,criu_mode,robot_id,migration_event_id,criu_size_mb,app_policy_size_kb,ratio_criu_over_app,transfer_bandwidth_mbps,criu_returncode,trigger_to_dump_ms,dump_to_transfer_ms,transfer_to_restore_ms,dump_ms,downtime_ms,total_MTT_ms,container_host_pid,steps,batch,timestamp
d4rl_hopper_medium_v2,warm,agent_0,0,3066.49,278.01,11294.9,125.0,0,991.0,24532.0,555.0,991.0,1546.0,27912.0,623184,500,256,2026-06-29T11:21:11
d4rl_hopper_medium_v2,warm,agent_1,0,3066.06,278.01,11293.4,125.0,0,9458.0,24528.0,532.0,9458.0,9990.0,50670.0,623307,500,256,2026-06-29T11:21:37
d4rl_hopper_medium_v2,warm,agent_2,0,3066.02,278.01,11293.2,125.0,0,9828.0,24528.0,421.0,9828.0,10249.0,59312.0,623444,500,256,2026-06-29T11:22:12
d4rl_hopper_medium_v2,warm,agent_3,0,3065.98,278.01,11293.1,125.0,0,10382.0,24528.0,432.0,10382.0,10814.0,58950.0,623582,500,256,2026-06-29T11:22:47
d4rl_hopper_medium_v2,warm,agent_4,0,3066.5,278.01,11295.0,125.0,0,9130.0,24532.0,492.0,9130.0,9623.0,59388.0,623775,500,256,2026-06-29T11:23:22
d4rl_hopper_medium_v2,warm,agent_5,0,3065.89,278.01,11292.7,125.0,0,12554.0,24527.0,543.0,12554.0,13097.0,64272.0,623961,500,256,2026-06-29T11:24:02
d4rl_hopper_medium_v2,warm,agent_6,0,3067.08,278.01,11297.1,125.0,0,10892.0,24537.0,542.0,10892.0,11433.0,63081.0,624138,500,256,2026-06-29T11:24:42
d4rl_hopper_medium_v2,warm,agent_7,0,3066.66,278.01,11295.6,125.0,0,9330.0,24533.0,523.0,9330.0,9854.0,58259.0,624277,500,256,2026-06-29T11:25:16
d4rl_hopper_medium_v2,warm,agent_0,1,3066.52,278.01,11295.1,125.0,0,9288.0,24532.0,374.0,9288.0,9662.0,59055.0,623184,500,256,2026-06-29T11:25:52
d4rl_hopper_medium_v2,warm,agent_1,1,3066.09,278.01,11293.5,125.0,0,7825.0,24529.0,492.0,7825.0,8317.0,55765.0,623307,500,256,2026-06-29T11:26:24
d4rl_hopper_medium_v2,warm,agent_2,1,3066.05,278.01,11293.3,125.0,0,8483.0,24528.0,435.0,8483.0,8917.0,57743.0,623444,500,256,2026-06-29T11:26:57
d4rl_hopper_medium_v2,warm,agent_3,1,3066.02,278.01,11293.2,125.0,0,7980.0,24528.0,535.0,7980.0,8515.0,58956.0,623582,500,256,2026-06-29T11:27:32
d4rl_hopper_medium_v2,warm,agent_4,1,3066.53,278.01,11295.1,125.0,0,8770.0,24532.0,537.0,8770.0,9306.0,56751.0,623775,500,256,2026-06-29T11:28:04
d4rl_hopper_medium_v2,warm,agent_5,1,3065.92,278.01,11292.9,125.0,0,8596.0,24527.0,389.0,8596.0,8985.0,58230.0,623961,500,256,2026-06-29T11:28:38
d4rl_hopper_medium_v2,warm,agent_6,1,3067.11,278.01,11297.2,125.0,0,8824.0,24537.0,419.0,8824.0,9242.0,57277.0,624138,500,256,2026-06-29T11:29:11
d4rl_hopper_medium_v2,warm,agent_7,1,3066.69,278.01,11295.7,125.0,0,7354.0,24534.0,485.0,7354.0,7839.0,55551.0,624277,500,256,2026-06-29T11:29:42
d4rl_hopper_medium_v2,warm,agent_0,2,3066.52,278.01,11295.1,125.0,0,8474.0,24532.0,516.0,8474.0,8990.0,55782.0,623184,500,256,2026-06-29T11:30:15
d4rl_hopper_medium_v2,warm,agent_1,2,3066.09,278.01,11293.5,125.0,0,10614.0,24529.0,526.0,10614.0,11140.0,59282.0,623307,500,256,2026-06-29T11:30:50
d4rl_hopper_medium_v2,warm,agent_2,2,3066.05,278.01,11293.3,125.0,0,8812.0,24528.0,438.0,8812.0,9249.0,59878.0,623444,500,256,2026-06-29T11:31:25
d4rl_hopper_medium_v2,warm,agent_3,2,3066.03,278.01,11293.3,125.0,0,9357.0,24528.0,550.0,9357.0,9906.0,61990.0,623582,500,256,2026-06-29T11:32:03
d4rl_hopper_medium_v2,warm,agent_4,2,3066.55,278.01,11295.2,125.0,0,13754.0,24532.0,498.0,13754.0,14252.0,70630.0,623775,500,256,2026-06-29T11:32:49
d4rl_hopper_medium_v2,warm,agent_5,2,3065.92,278.01,11292.9,125.0,0,11443.0,24527.0,517.0,11443.0,11960.0,69894.0,623961,500,256,2026-06-29T11:33:35
d4rl_hopper_medium_v2,warm,agent_6,2,3067.11,278.01,11297.2,125.0,0,14945.0,24537.0,513.0,14945.0,15458.0,77485.0,624138,500,256,2026-06-29T11:34:28
d4rl_hopper_medium_v2,warm,agent_7,2,3066.69,278.01,11295.7,125.0,0,13054.0,24534.0,527.0,13054.0,13581.0,82121.0,624277,500,256,2026-06-29T11:35:26
d4rl_hopper_medium_v2,warm,agent_0,3,3066.53,278.01,11295.1,125.0,0,7753.0,24532.0,542.0,7753.0,8295.0,66330.0,623184,500,256,2026-06-29T11:36:09
d4rl_hopper_medium_v2,warm,agent_1,3,3066.11,278.01,11293.6,125.0,0,9477.0,24529.0,477.0,9477.0,9954.0,60574.0,623307,500,256,2026-06-29T11:36:45
d4rl_hopper_medium_v2,warm,agent_2,3,3066.06,278.01,11293.4,125.0,0,8716.0,24529.0,523.0,8716.0,9239.0,60494.0,623444,500,256,2026-06-29T11:37:21
d4rl_hopper_medium_v2,warm,agent_3,3,3066.03,278.01,11293.3,125.0,0,8657.0,24528.0,498.0,8657.0,9155.0,57895.0,623582,500,256,2026-06-29T11:37:55
d4rl_hopper_medium_v2,warm,agent_4,3,3066.55,278.01,11295.2,125.0,0,10694.0,24532.0,404.0,10694.0,11098.0,62477.0,623775,500,256,2026-06-29T11:38:33
d4rl_hopper_medium_v2,warm,agent_5,3,3065.94,278.01,11292.9,125.0,0,10875.0,24527.0,449.0,10875.0,11324.0,66610.0,623961,500,256,2026-06-29T11:39:15
d4rl_hopper_medium_v2,warm,agent_6,3,3067.13,278.01,11297.3,125.0,0,9872.0,24537.0,472.0,9872.0,10344.0,61338.0,624138,500,256,2026-06-29T11:39:52
d4rl_hopper_medium_v2,warm,agent_7,3,3066.7,278.01,11295.7,125.0,0,14582.0,24534.0,560.0,14582.0,15142.0,70596.0,624277,500,256,2026-06-29T11:40:38
d4rl_hopper_medium_v2,warm,agent_0,4,3066.53,278.01,11295.1,125.0,0,7351.0,24532.0,463.0,7351.0,7814.0,56612.0,623184,500,256,2026-06-29T11:41:11
d4rl_hopper_medium_v2,warm,agent_1,4,3066.11,278.01,11293.6,125.0,0,7960.0,24529.0,410.0,7960.0,8371.0,56176.0,623307,500,256,2026-06-29T11:41:43
d4rl_hopper_medium_v2,warm,agent_2,4,3066.06,278.01,11293.4,125.0,0,8890.0,24529.0,497.0,8890.0,9387.0,58013.0,623444,500,256,2026-06-29T11:42:17
d4rl_hopper_medium_v2,warm,agent_3,4,3066.03,278.01,11293.3,125.0,0,8563.0,24528.0,513.0,8563.0,9076.0,58343.0,623582,500,256,2026-06-29T11:42:51
d4rl_hopper_medium_v2,warm,agent_4,4,3066.55,278.01,11295.2,125.0,0,8272.0,24532.0,424.0,8272.0,8696.0,57772.0,623775,500,256,2026-06-29T11:43:24
d4rl_hopper_medium_v2,warm,agent_5,4,3065.94,278.01,11292.9,125.0,0,8256.0,24527.0,476.0,8256.0,8732.0,57411.0,623961,500,256,2026-06-29T11:43:57
d4rl_hopper_medium_v2,warm,agent_6,4,3067.13,278.01,11297.3,125.0,0,8746.0,24537.0,489.0,8746.0,9235.0,58600.0,624138,500,256,2026-06-29T11:44:31
d4rl_hopper_medium_v2,warm,agent_7,4,3066.7,278.01,11295.7,125.0,0,8835.0,24534.0,478.0,8835.0,9313.0,57884.0,624277,500,256,2026-06-29T11:45:05
